"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"abs",0.44,0.00,0.44,10508
"alloc",0.17,0.00,0.18,5996
"array",0.01,0.00,0.02,4492
"ato",0.30,0.00,0.30,7720
"attributes",0.01,0.00,0.01,4584
"avl_test",0.09,0.00,0.09,5556
"barge",0.44,0.00,0.45,8316
"block",0.58,0.00,0.58,8688
"boundedBufferEXT",0.48,0.00,0.49,9056
"boundedBufferINT",0.50,0.00,0.50,9128
"castError",0.01,0.00,0.01,4552
"cast",0.01,0.00,0.01,4488
"completeTypeError",0.01,0.00,0.01,4492
"complex",0.12,0.00,0.12,10528
"coroutineYield",0.53,0.00,0.54,7676
"counter",0.01,0.00,0.01,4492
"ctor-autogen",0.02,0.00,0.02,4616
"datingService",0.45,0.00,0.46,7076
"declarationSpecifier",0.02,0.00,0.02,4556
"designations",0.02,0.00,0.02,4572
"disjoint",0.58,0.00,0.59,9356
"div",0.11,0.00,0.11,7236
"dtor-early-exit",0.21,0.00,0.22,7716
"dtor",0.42,0.00,0.42,7320
"else",0.41,0.01,0.42,9528
"enum",0.01,0.00,0.01,4492
"expression",0.02,0.00,0.02,4492
"extension",0.01,0.00,0.01,4776
"fallthrough",0.01,0.00,0.01,4484
"fibonacci",0.22,0.00,0.22,10528
"fmtLines",0.20,0.00,0.21,6312
"forall",0.16,0.01,0.17,15180
"forctrl",0.12,0.00,0.12,14456
"fstream_test",0.11,0.00,0.12,11376
"function-operator",0.22,0.00,0.22,9104
"functions",0.01,0.00,0.02,4576
"gccExtensions",0.01,0.00,0.02,4772
"genericUnion",0.02,0.00,0.02,4584
"globals",0.10,0.00,0.10,6868
"heap",0.44,0.00,0.44,6696
"hello",0.04,0.00,0.04,5400
"identFuncDeclarator",0.01,0.00,0.01,4488
"identity",0.28,0.00,0.29,7840
"identParamDeclarator",0.01,0.00,0.01,4576
"ifwhileCtl",0.04,0.00,0.05,5508
"init_once",0.01,0.00,0.01,4588
"io1",1.19,0.02,1.21,43948
"io2",2.00,0.03,2.04,78452
"KRfunctions",0.02,0.00,0.02,4564
"labelledExit",0.02,0.00,0.02,4496
"limits",0.04,0.00,0.05,4752
"literals",0.10,0.00,0.11,6736
"math1",1.03,0.00,1.04,34584
"math2",1.34,0.00,1.35,24388
"math3",0.97,0.00,0.98,23852
"math4",1.08,0.00,1.08,15024
"matrixSum",0.42,0.00,0.43,8088
"maybe",0.02,0.00,0.02,4588
"memberCtors",0.02,0.00,0.02,4560
"minmax",0.72,0.00,0.73,14524
"monitor",0.42,0.00,0.43,8076
"multi-monitor",0.45,0.00,0.45,15028
"nested-types",0.01,0.00,0.01,4568
"numericConstants",0.01,0.00,0.01,4556
"operators",0.02,0.00,0.02,4552
"pingpong",0.21,0.00,0.22,6456
"polymorphism",0.02,0.00,0.03,6488
"preempt",0.49,0.00,0.49,6912
"prodcons",0.38,0.01,0.40,9744
"quickSort",0.45,0.00,0.45,7728
"quoted_keyword",0.02,0.00,0.03,6444
"random",0.23,0.00,0.23,7384
"rational",3.36,0.00,3.36,14408
"recurse",0.45,0.00,0.45,8116
"references",0.02,0.00,0.03,4764
"result",0.02,0.00,0.02,4772
"runningTotal",0.22,0.00,0.22,10528
"searchsort",0.80,0.00,0.80,18392
"self-assignment",0.01,0.00,0.01,4552
"shortCircuit",0.02,0.00,0.03,6076
"simpleGenericTriple",0.02,0.00,0.02,4600
"statement",0.64,0.00,0.65,10976
"stdincludes",0.51,0.00,0.51,6908
"sum",0.42,0.00,0.42,12156
"swap",1.01,0.00,1.02,16380
"switch",0.01,0.00,0.01,4552
"sync",0.06,0.00,0.07,4856
"thread",0.44,0.00,0.45,8680
"time",0.26,0.00,0.26,13584
"tupleAssign",0.29,0.00,0.29,14432
"tupleCast",0.01,0.00,0.01,4516
"tupleFunction",0.02,0.00,0.02,4584
"tupleMember",0.02,0.00,0.02,4608
"tuplePolymorphism",0.02,0.00,0.02,4684
"tupleVariadic",0.08,0.00,0.08,5304
"typedefRedef",0.01,0.00,0.01,4488
"typeof",0.01,0.00,0.01,4552
"user_literals",0.10,0.00,0.11,6844
"variableDeclarator",0.01,0.00,0.01,4580
"vector",0.37,0.00,0.37,8792
"voidPtr",0.01,0.00,0.01,4548
"wait",0.56,0.00,0.56,7744
"when",0.50,0.00,0.50,8776
"with-statement",0.02,0.00,0.02,4572
